role,skills
Data Scientist,"Python SQL Machine Learning Statistics Data Analysis Pandas NumPy Visualization"
DevOps Engineer,"AWS Docker Kubernetes CI/CD Automation Linux Terraform Cloud Monitoring"
Backend Developer,"Java Python SQL APIs Databases Microservices REST Git Node"
Frontend Developer,"JavaScript React CSS HTML UI Design TypeScript Web Design Accessibility"
Cloud Architect,"AWS Azure Cloud Networking Security Automation Terraform Kubernetes Cost Optimization"
Machine Learning Engineer,"Python Machine Learning TensorFlow PyTorch Data Structures Algorithms MLOps Cloud"
Data Engineer,"Python SQL ETL Data Pipelines Spark Airflow Cloud Databases Data Warehousing"
Full Stack Developer,"JavaScript Python React Node SQL APIs Git Web Design Databases"
Sys Admin,"Linux Networking Automation Security Monitoring Scripting Cloud Bash"
Cybersecurity Analyst,"Security Networking Linux Python Risk Assessment Monitoring Cryptography Compliance"
Mobile Developer,"Java Kotlin Swift Mobile UI Design APIs Git Android iOS"
QA Engineer,"Testing Automation Python Selenium CI/CD Bug Tracking Quality Assurance Git"
